project,donor,amount
La Red de Educación Técnica de Fe y Alegría: Una Oferta Diversificada y Articulada a las demandas de la población y del Mercado,Generalitat de Valencia,1649000
Liderazgo de la APG en el desarrollo socio-económico integral de la región del Chaco,Agencia Española de Cooperación Internacional,386923
Manejo forestal sostenible en equidad de género en la región de los valles cruceños,Ayuntamiento de Portugalete,12500
Manejo forestal sostenible en equidad de género en la región de los valles cruceños,"Beneficiarios, Socios, Comunidades, etc",2723
Mejora de la Calidad educativa en el Departamento de Chuquisaca,Ayuntamiento de Madrid,251295
Mejora de la Calidad educativa en el Departamento de Chuquisaca,Centro de Multiservicios Educativos,52194
Mejora de la Calidad educativa en el Departamento de Chuquisaca,Diputación de Valladolid,64178
"Mejora de la calidad educativa y gestión local en los núcleos escolares de Igüembe, Ity y La Tapera, municipio Villa Vaca Guzmán.",Xunta de Galicia,174076
"Mejora de la calidad educativa y gestión local en los núcleos escolares de Igüembe, Ity y La Tapera, municipio Villa Vaca Guzmán.",Fundación Intercultural NORSUD,34800
"Mejora de la calidad educativa y gestión local en los núcleos escolares de Igüembe, Ity y La Tapera, municipio Villa Vaca Guzmán.",Municipio de Villa Vaca Guzmán,37671
"Mejora de la calidad educativa y gestión local en los núcleos escolares de Igüembe, Ity y La Tapera, municipio Villa Vaca Guzmán.",Ayuda en Acción,24608
"Mejora de la producción agropecuaria sostenible de la familias campesinas en los valles interandinos de Bolivia, 3 años.",Veterinarios Sin Fronteras - VETERMON,44795
"Mejora de la producción agropecuaria sostenible de la familias campesinas en los valles interandinos de Bolivia, 3 años.",Agencia Catalana de Cooperación al Desarrollo,820000
"Mejora de la producción agropecuaria sostenible de la familias campesinas en los valles interandinos de Bolivia, 3 años.",Instituto de Capacitación del Oriente,19784
"Mejora de la producción agropecuaria sostenible de la familias campesinas en los valles interandinos de Bolivia, 3 años.","Beneficiarios, Socios, Comunidades, etc",70378
Mejora de las condiciones de saneamiento básico en cuatro comunidades del Distrito III de Viacha,Junta de Comunidades de Castilla La Mancha,151278
Mejora de las condiciones de saneamiento básico en cuatro comunidades del Distrito III de Viacha,Centro de Investigación y Promoción del Campesinado,4208
Mejora de las condiciones de saneamiento básico en cuatro comunidades del Distrito III de Viacha,Municipio de Viacha,44871
Mejora de las condiciones de saneamiento básico en cuatro comunidades del Distrito III de Viacha,Ayuda en Acción,5924
"Mejora de las condiciones de vida reduciendo los riesgos a desastres, de las personas y comunidades en situación de pobreza y exclusión en América Latina",Ayuda en Acción,34260
"Mejora de las condiciones de vida reduciendo los riesgos a desastres, de las personas y comunidades en situación de pobreza y exclusión en América Latina",Agencia Catalana de Cooperación al Desarrollo,191500
"Mejora de las condiciones de vida reduciendo los riesgos a desastres, de las personas y comunidades en situación de pobreza y exclusión en América Latina","Fundación Participación y Sostenibilidad ""PASOS""",2772
"Mejora de las condiciones de vida reduciendo los riesgos a desastres, de las personas y comunidades en situación de pobreza y exclusión en América Latina","Beneficiarios, Socios, Comunidades, etc",19405
Mejora de las Condiciones Económicas de Mujeres en desventaja en La Paz y El Alto a través de la capacitación profesional,Fundación Promoción Social de la Cultura,70000
Mejora de las Condiciones Económicas de Mujeres en desventaja en La Paz y El Alto a través de la capacitación profesional,Comunidad de Madrid,867421
Mejora de las Condiciones Económicas de Mujeres en desventaja en La Paz y El Alto a través de la capacitación profesional,Asociación Civil AYNI,85500
Mejora de las Condiciones Económicas de Mujeres en desventaja en La Paz y El Alto a través de la capacitación profesional,OPEC Fund for International Development,180000
Mejoramiento de la educación básica de niños/as jóvenes y adultos bilingües de municipios rurales pobres en los departamentos de Potosí y Chuquisaca,Ayuda en Acción,44449
Mejora del medio ambiente a través de la recolección y del relleno sanitario de los Residuos Sólidos Urbanos en la Localidad de Betanzos,Ayuntamiento de Murcia,17107
Mejora del medio ambiente a través de la recolección y del relleno sanitario de los Residuos Sólidos Urbanos en la Localidad de Betanzos,Municipio de Betanzos,94275
Mejora del medio ambiente a través de la recolección y del relleno sanitario de los Residuos Sólidos Urbanos en la Localidad de Betanzos,Paz y Desarrollo,4315
"Mejora del nivel educativo de la población Guaraní, especialmente mujeres y niñas",Fundación Intercultural NORSUD,38480
"Mejorado el sistema vial de la comunidad de Santa Rosa mediante la construcción de un camino carretero de 10,06 km",Paz y Desarrollo,21500
"Mejorado el sistema vial de la comunidad de Santa Rosa mediante la construcción de un camino carretero de 10,06 km",Junta de Comunidades de Castilla La Mancha,300732
"Mejorado el sistema vial de la comunidad de Santa Rosa mediante la construcción de un camino carretero de 10,06 km",Municipio de Villa Tunari,40000
Mejoramiento de la educación básica de niños/as jóvenes y adultos bilingües de municipios rurales pobres en los departamentos de Potosí y Chuquisaca,Generalitat de Valencia,871433
Mejoramiento de la educación básica de niños/as jóvenes y adultos bilingües de municipios rurales pobres en los departamentos de Potosí y Chuquisaca,Fundación Acción Cultural Loyola,51610
Mejoramiento de la educación básica de niños/as jóvenes y adultos bilingües de municipios rurales pobres en los departamentos de Potosí y Chuquisaca,"Beneficiarios, Socios, Comunidades, etc",147752
"Mejoramiento de las condiciones alimentarias, la economía y la participación social de las familias campesinas de dos municipios del Departamento de Pando,  Bolivia",Agencia Española de Cooperación Internacional,407064
Mejorando la seguridad alimentaria,Cáritas,21250
Mejorando la seguridad alimentaria,Comunidad de Madrid,239840
Modelo campesino  de gestión del  desarrollo comunal sostenible en los Valles Interandinos de Santa Cruz y Cochabamba (Fase III),Agencia Vasca de Cooperación al Desarrollo,599894
Modelo campesino  de gestión del  desarrollo comunal sostenible en los Valles Interandinos de Santa Cruz y Cochabamba (Fase III),Instituto de Capacitación del Oriente,182129
Mujeres orfebres de la ciudad de EL Alto desarrollan capacidades en diseño y producción para integrar sus productos en los mercados de comercio justo,Solidaridad Internacional,2999
Mujeres en acción (Fase II),Diputación Foral de Bizkaia,193857
Mujeres en acción (Fase II),Asociación Civil AYNI,42578
Mujeres en acción (Fase II),Municipo de Camargo,22853
Mujeres En Acción Construyendo la Equidad,Agencia Vasca de Cooperación al Desarrollo,533893
OCER (Oficina de Atención a la Ciudadanía en el Exterior y al Retorno),Red Eléctrica,15000
Plataforma para una Política Energética,Oxfam Internacional,81257
Prevención y rehabilitación en la Amazonia Boliviana,Cáritas,20000
Prevención y rehabilitación en la Amazonia Boliviana,Agencia Española de Cooperación Internacional,275598
Producción de hortalizas bajo carpas solares en el CECAP-Escoma,Gobierno de Aragón,75800
Programa de Apoyo Educativo para escuelas del Municipio de Okinawa,Escuela Salesiana Muyurina,22030
Promoción de desarrollo local mediante la generación de valor agregado en el cultivo y comercialización de la cañahua en el Departamento de Cochabamba,Ayuntamiento de Madrid,201248
Promoción de los Derechos de la población Indígena Guaraní que vive en condiciones de Semiesclavitud y Servidumbre en el Chaco Chuquisaqueño de Bolivia,Fundación Intercultural NORSUD,32930
"Promoción de los derechos de niños/as y adolescentes trabajadores que viven en condiciones de exclusion social, violencia, explotación y abuso en regiones piloto de Bolivia",Unión Europea,132000
"Promoción de los derechos de niños/as y adolescentes trabajadores que viven en condiciones de exclusion social, violencia, explotación y abuso en regiones piloto de Bolivia",Fundación Intercultural NORSUD,22000
"Promoción y protagonismo económico y social de mujeres en riesgo  a través de la organización, capacitación y microcrédito en barrios Sub-urbanos y rurales en Quillacollo Cochabamba- Bolivia",Fundación Castellano Manchega de Cooperación,94460
"Fortalecimiento y apoyo a redes y organizaciones de mujeres indígenas. Ecuador, Colombia, Perú, Bolivia, Paraguay, Guatemala y Mexico (Chiapas).  ",Agencia Española de Cooperación Internacional,279825
"Protección integral y ayuda contra la drogadicción de niños y adolescentes de la calle. Bolivia, Perú, Ecuador, 4 años",Centro Interdisciplinario de Estudios Comunitarios,124657
Proyecto Yateqhañani,Ajuntament de Vic,11000
Proyecto Casa Yanapasiñani,Socios Particulares,31000
Proyecto de mejora del acceso y la calidad del sector educativo en Departamento de Potosí Bolivia - Fase I,Municipio de Tacobamba,45658
Recuperación productiva y social de familias de colonizadores de comunidades del municipio de San Julián,Gobierno de Asturias,115000
Reforzamiento de actividades productivas autogestionadas con mujeres en El Alto ,Fons Catalá de Cooperació,11986
"Rehabilitación económica en los municipios de Alcalá, Sopachuy y El Villar",Agencia Española de Cooperación Internacional,180293
"Rehabilitación económica en los municipios de Alcalá, Sopachuy y El Villar","Fundación Participación y Sostenibilidad ""PASOS""",4673
Sistemas de agua potable en 2 comunidades del distrito III del municipio de Viacha,Ayuda en Acción,6667
Sistemas de agua potable en 2 comunidades del distrito III del municipio de Viacha,Diputación de León,46737
Sistemas de agua potable en 2 comunidades del distrito III del municipio de Viacha,Centro de Investigación y Promoción del Campesinado,1625
Soberanía alimentaria y participación campesina en la Central Agraria Lambate,Centro de Educación Popular QHANA,91153
Telecentros educativos comunitarios,Ayuntamiento de Pamplona,90000
"Transparencia y control social de la renta de hidrocarburos, en YPFB y el Ministerio de Hidrocarburos",Oxfam Internacional,52236
Mujeres orfebres de la ciudad de EL Alto desarrollan capacidades en diseño y producción para integrar sus productos en los mercados de comercio justo,Obra Social La Caixa,28771
Mujeres orfebres de la ciudad de EL Alto desarrollan capacidades en diseño y producción para integrar sus productos en los mercados de comercio justo,CENTRO DE CAPACITACION Y DESARROLLO DE LA MUJER Y FAMILIA ,4242
Perforación de Pozos,Diputación General de Aragón,125000
Programa de Apoyo Educativo para escuelas del Municipio de Okinawa,Municipio de Okinawa,171133
Programa de Apoyo Educativo para escuelas del Municipio de Okinawa,Proyecto Solidario,27424
"Promoción de la cultura mojeña a través de la educación formal en el ámbito territorial mojeño, Amazonía Boliviana ",Centre D'estudis Amazónics,2715
"Promoción de la cultura mojeña a través de la educación formal en el ámbito territorial mojeño, Amazonía Boliviana ",Ayuntamiento de Barcelona ,75000
"Promoción de la cultura mojeña a través de la educación formal en el ámbito territorial mojeño, Amazonía Boliviana ",Centro de Estudio de la Hoya Amazoníca ,7069
Promoción de los Derechos de la población Indígena Guaraní que vive en condiciones de Semiesclavitud y Servidumbre en el Chaco Chuquisaqueño de Bolivia,Agencia Catalana de Cooperación al Desarrollo,50000
Promoción de los Derechos de las familias de la etnia Guaraní que viven en condiciones de servidumbre y empadronamiento en el Chaco Chuquisaqueño,Unión Europea,99950
"Protección integral y ayuda contra la drogadicción de niños y adolescentes de la calle. Bolivia, Perú, Ecuador, 4 años",Fundación de Ayuda contra la Drogradicción,54862
"Promoción de los derechos de niños/as y adolescentes trabajadores que viven en condiciones de exclusion social, violencia, explotación y abuso en regiones piloto de Bolivia",Proyecto Solidario,13500
Proyecto Suma Thakhi,Svalorna Latinoamérica (Institución Sueca),12300
"Apoyo al autodesarrollo de los pueblos indígenas y al reconocimiento y aplicación efectiva de sus derechos. Ecuador, Bolivia, Perú, Colombia, Paraguay, Guatemala y Mexico (Chiapas).  ",Agencia Española de Cooperación Internacional,571428
Proyecto de mejora del acceso y la calidad del sector educativo en Departamento de Potosí Bolivia - Fase I,Proyecto Solidario,900
Proyecto de mejora del acceso y la calidad del sector educativo en Departamento de Potosí Bolivia - Fase I,Junta de Castilla y León,167956
Proyecto de mejora del acceso y la calidad del sector educativo en Departamento de Potosí Bolivia - Fase I,Fundación Intercultural NORSUD,80516
Proyecto Urbano Hogar Teresa de los Andres,Ayuda en Acción,97675
Recuperación productiva y social de familias de colonizadores de comunidades del municipio de San Julián,Ayuda en Acción,20411
Recuperación productiva y social de familias de colonizadores de comunidades del municipio de San Julián,Municipio de San Julián,94973
Reforzamiento de actividades productivas autogestionadas con mujeres en El Alto ,Asociación de Apoyo a la Infancia ,2000
"Rehabilitación económica en los municipios de Alcalá, Sopachuy y El Villar",Ayuda en Acción,28554
"Rehabilitación económica en los municipios de Alcalá, Sopachuy y El Villar",Municipio de Alcalá,43085
Santa Cruz Saludable: por la salud de la mujer detectando el cáncer de útero,Ayuntamiento de Toledo,14070
Santa Cruz Saludable: Promocionando la Salud de las Mujeres en Edad Reproductiva de la Red Este,Junta de Comunidades de Castilla La Mancha,220049
Sistemas de agua potable en 2 comunidades del distrito III del municipio de Viacha,Municipio de Viacha,9297
Unidad Educativa Madre de La Divina Providencia (2da. Fase Secundaria),Ayuntamiento de Madrid,250000
Telecentros educativos comunitarios,Centro de Promoción Agropecuaria Campesina,5140
Telecentros educativos comunitarios,Municipio de Yapacaní,16500
Telecentros educativos comunitarios,Ayuda en Acción,20072
Transparencia en la Gestión Fiscal y Administrativa de la Renta Proveniente de Hidrocarburos – Fase II,Oxfam Internacional,87500
Apoyo al desarrollo socioeconómico y ambientalmente sostenible de las comunidades del municipio de El Torno,Centre D'estudis Amazónics,40251
"Fortalecimiento de la sociedad civil para la exigibilidad de los Derechos Económicos, Sociales Culturales y Ambientales (DESCA) y la gestión sostenible de los recursos naturales en Bolivia y Perú  ",Agencia Española de Cooperación Internacional,1694118
Seguridad Alimentaria y desarrollo económico local en Bolivia y Ecuador,Agencia Española de Cooperación Internacional,3130044
La Red de Educación Técnica de Fe y Alegría: Una oferta diversificada y articulada a las demandas de la población y el mercado  ,Agencia Española de Cooperación Internacional,1589000
"Promoción del acceso universal a la educación mediante la mejora de la formación profesional y técnica, desde un enfoque integral.  Bolivia, Colombia, Venezuela, Paraguay, Perú y Ecuador. ",Agencia Española de Cooperación Internacional,316666
Convenio para la mejora de la Enseñanza Primaria Universal ...,Agencia Española de Cooperación Internacional,2375000
Mejora de la calidad educativa para la inserción social de poblaciones vulnerables en America Latina ,Agencia Española de Cooperación Internacional,1966176
"Protección integral y ayuda contra la drogadicción de niños y adolescentes de la calle. Bolivia, Perú, Ecuador, 4 años",Agencia Española de Cooperación Internacional,1000000
"Fortalecimiento de capacidades humanas e institucionales de las poblaciones indígenas guaraníes y de afrodescendiente, altamente vulnerables a situaciones de violación de derechos humanos y violencia de género. Regional",Agencia Española de Cooperación Internacional,1916191
"Educación básica gratuita, de calidad e inclusiva para niños, niñas, jóvenes y adultos, especialmente niñas y mujeres indígenas y de zonas rurales, de Bolivia",Agencia Española de Cooperación Internacional,4350000
"Mejora de las condiciones de vida reduciendo los riesgos ambientales en zonas rurales vulnerables por su dependencia de los recursos naturales en zonas ecológicamente sensibles.  Bolivia, Perú, Ecuador. ",Agencia Española de Cooperación Internacional,863128
Fortalecimiento de organizaciones de trabajadores promoviendo la formación sindical y facilitando su intervención en el mercado de trabajo y en los procesos de codesarrollo. (América Latina / Varios Países),Agencia Española de Cooperación Internacional,450000
Mejora de la calidad de vida de las familias indígenas y campesinas rurales pobres a través de la incidencia política para el acceso equitativo y sostenible de los recursos naturales,Agencia Española de Cooperación Internacional,1800000
Mejora del acceso a los servicios de salud mediante el fortalecimiento de los sistemas públicos de atención primaria,Agencia Española de Cooperación Internacional,500000
"Mejora de la salud de las poblaciones, en especial de las de mayor pobreza y vulnerabilidad",Agencia Española de Cooperación Internacional,1199999
Mejora de la situación de poblaciones indígenas vulnerables  - Convenio de Cooperación,Agencia Española de Cooperación Internacional,3000000
Convenio para el empoderamiento de la mujer en Perú y Bolivia,Agencia Española de Cooperación Internacional,2000000
"Lucha Contra la violencia de género y salud sexual reproductiva, a través de la aplicaciión efectiva de la spolíticas públicas, el fortalecimiento de redes regionales específicas y la vigilancia ciudadana,en Bolivia, ecuador y perú.",Agencia Española de Cooperación Internacional,1893866
"Fortalecimiento y consolidación de unidades productivas familiares en el ámbito agropecuario y forestal y de capacidades organizativas de pequeños productores y productoras. Haití, República Dominicana y Bolivia, 4 años.",Agencia Española de Cooperación Internacional,892900
Apoyo y la promoción de la producción campesina familiar y comunitaria en Bolivia,Agencia Española de Cooperación Internacional,3040000
"Promoción, Desarrollo e Integración de servicios de Fisioterapia en la estructura sanitaria",Fisioterapeutas para el Mundo Solidarios,104652
Dignidad y calidad Educativa para los más desfavorecidos,Agencia Española de Cooperación Internacional,300000
"Educación Integral y técnica de jóvenes y adolescentes de zonas rurales vulnerables, dirigida a potenciar las vocaciones productivas de la zona andina. ",Agencia Española de Cooperación Internacional,1299606
Proyectos de Agua y Saneamiento Toromonas,Ayuntamiento de Zaragoza,100024
Desarrollo Integral Participativo en Sud Lípez,Gobierno de Navarra,753574
Proyecto Ayuda Humanitaria por las Inundaciones.,Gobierno de Aragón,45832
Red de producción y difisión audiovisual para fortalecer la ciudadanía en equidad y diversidad cultural,Ayuntamiento de Figueres,5000
Red de producción y difisión audiovisual para fortalecer la ciudadanía en equidad y diversidad cultural,Ayuntamiento de Gavá,5000
Red de producción y difisión audiovisual para fortalecer la ciudadanía en equidad y diversidad cultural,Ayuntamiento de Girona,3750
"Desarrollo de la base productiva y fortalecimiento al tejido empresarial para el incremento de los ingresos económicos de productores de Anís, Frutilla y Caña de Azúcar de los municipios de Saipina y Comarapa",Agencia Andaluza de Cooperación Internacional al Desarrollo,299724
Implantación de sistemas de salud comunitaria y municipal en redes de salud rurales de extrema pobreza en Potosí,Ayuda en Acción,352319
Mejora de la producción de la ganadería sostenible comunitaria en la TCO Parapitiguasu,Agencia Española de Cooperación Internacional,195614
 Apoyo a iniciativas organizativas y productivas en las comunidades ayoreas ,Ayuntamiento de Gavá,3000
"Apoyo a la promoción de liderazgos femeninos a través de la formación y la incidencia política en las organizaciones indígenas de mujeres en el Beni, Bolivia",Agencia Catalana de Cooperación al Desarrollo,73229
Mejora de la gestión municipal y ejercicio ciudadano en los municipios de Bolívar y Tacopaya del departamento de Cochabamba,Ayuntamiento de Toledo,180000
"Fortalecimiento de la producción agropecuaria sostenible a nivel familiar en las comunidades guaranís de Aguaraigua, Paraboca y Miniyuqui (Bajo Isoso) (BOLIVIA)",Agencia Española de Cooperación Internacional,100000
Fortalecer el sistema productivo-organizativo para garantizar el ejercicio de los derechos de productoras/res indígenas del municipio de Calamarca-Bolivia,Agencia Española de Cooperación Internacional,239257
Fortalecimiento del sistema público de educación en la periferia de la ciudad de Sucre para la inclusión y acceso equitativo de niños y niñas migrantes,Agencia Española de Cooperación Internacional,220000
"Desarrollo pecuario sostenible y promoción de estrategias democráticas e inclusivas para las mujeres, con actuaciones complementarias al programa AYRA",Agencia Española de Cooperación Internacional,280000
Centro de Desarrollo Integral para Adolescentes y Jóvenes (Fase II),Junta de Comunidades de Castilla La Mancha,316952
Fortalecimiento de la Formación Politcia de mujeres líderes indígenas chiquitanas. ,Agencia Española de Cooperación Internacional,38600
10 escuelas nocturnas en Potosí: convirtiendo el fracaso escolar en éxito: comunidades educativas movilizas por la mejora de los aprendizajes,Educación Sin Fronteras,1030
10 escuelas nocturnas en Potosí: convirtiendo el fracaso escolar en éxito: comunidades educativas movilizas por la mejora de los aprendizajes,Junta de Comunidades de Castilla La Mancha,259907
10 escuelas nocturnas en Potosí: convirtiendo el fracaso escolar en éxito: comunidades educativas movilizas por la mejora de los aprendizajes,"Beneficiarios, Socios, Comunidades, etc",54461
"Educación para la Salud (EPS): Estrategia  de Educación, Información y Capacitación (IEC) y fortalecimiento de los Puestos de Información del Vector (PIVS) de la enfermedad de Chagas",Municipio de Sacaba,37060
Programa de prevención y control de la enfermedad de Chagas.,Agencia Española de Cooperación Internacional,3463580
Construcción de un centro de salud en la comunidad Villa Aroma,Ayuntamiento de Majadahonda,30800
Fortalecimiento de la educación rural y los derechos los niños en áreas zafreras del Departamento de Santa Cruz ( Bolivia),"Beneficiarios, Socios, Comunidades, etc",71360
Apoyo a los Centros Escolares en la Ribera del rio Tapacarí ,Asociación Andaluza por la Solidaridad y la Paz,6214
"Centro de Salud, 2 Fase. Equipamiento y Atención Sanitaria",Ayuntamiento de Granada,45114
Construcción de dos sistemas de agua potable en las comunidades de Jalsuri y Tacagua,Gobierno de Navarra,152731
"Mejoramiento de la educación básica de niños/as, jóvenes y adultos bilingües de Municipios rurales pobres en los departamentos de Potosí y Chuquisaca",Generalitat de Valencia,871433
"Inserción socioeconómica de cuatro grupos de mujeres en situaciones de riesgo, mediante el micro crédito y la  capacitación. Valle Bajo de Cochabamba (Fase II)",Fundación Castellano Manchega de Cooperación,94460
Mejora de la soberanía alimentaria de 18 comunidades quechuas en dos microcuencas hidrológicas en los municipios de Arque y Tapacarí,Junta de Comunidades de Castilla La Mancha,344233
Fortalecimiento de las capacidades productivas para la generación de valor añadido y de la concertación e incidencia política de las familias y organizaciones económicas campesinas de Torotoro para su seguridad alimentaria y  Desarrollo Local,Obra Social La Caixa,285000
"Garantizar la dotación de agua para consumo humano y alimentación de familias indigenas vulnerables a la inseguridad alimentaria (VAM), que habitan el comunidades rurales del Sur",Junta de Castilla y León,207962
Mejorar las necesidades básicas en provision de agua en comunidades indigenas de Tacobamaba-Potosi,Junta de Castilla y León,175430
Educación y Territorio para construir un País Plurinacional,Educación Sin Fronteras,6500
"Educación, la llave para el desarrollo local (2da Fase): abriendo las puertas para una vida digna",Agencia Española de Cooperación Internacional,380000
"Educación, la llave para el desarrollo local (2da Fase): abriendo las puertas para una vida digna","Beneficiarios, Socios, Comunidades, etc",129940
"Educación Integral y técnica de jóvenes y adolescentes de zonas rurales vulnerables, dirigida a potenciar las vocaciones productivas de la zona andina. ",Centro Boliviano de Investigación y Acción Educativas,70357
"Educación Integral y técnica de jóvenes y adolescentes de zonas rurales vulnerables, dirigida a potenciar las vocaciones productivas de la zona andina. ",Centro de Estudio y Trabajo de la Mujer,75050
"Educación Integral y técnica de jóvenes y adolescentes de zonas rurales vulnerables, dirigida a potenciar las vocaciones productivas de la zona andina. ",Centro de Educación Técnica Humanística Agropecuaria - Emborozú,79240
Educación integral y técnica para jóvenes y adultos de zonas rurales del Departamento de Tarija,Centro de Educación Técnica Humanística Agropecuaria - Emborozú,40188
Agua potable y saneamiento básico para comunidades campesinas de los municipios de Reyes y Rurrenabaque,Ayuntamiento de Aranjuez,24410
Agua potable y saneamiento básico para comunidades campesinas de los municipios de Reyes y Rurrenabaque,Rivas Vacia Madrid,163499
Gestión Municipal Participativa en El Caine Cochabambino ,Ayuntamiento de Burlada,158256
"Reforma del Ala de Varones, y Adecuación de los Servicios Higiénicos del Asilo San Ramón",Ayuntamiento de Zaragoza,213724
Proyecto Ayuda Humanitaria por las Inundaciones.,Gobierno de Aragón,45832
Atención primaria y dermatológica en Jorochito,Gobierno de Navarra,312568
Salud y nutrición fortaleciendo el proceso de implementación del modelo de salud familiar comunitario con interculturalidad y del programa de desnutrición cero,Agencia Española de Cooperación Internacional,5125000
Fortalecimiento de la educación rural y los derechos los niños en áreas zafreras del Departamento de Santa Cruz ( Bolivia),Generalitat de Valencia,279252
Fortalecimiento de la educación rural y los derechos los niños en áreas zafreras del Departamento de Santa Cruz ( Bolivia),Fundación Promoción Social de la Cultura,10000
Fortalecimiento de la educación rural y los derechos los niños en áreas zafreras del Departamento de Santa Cruz ( Bolivia),Asociación para la Erradicación de la Pobreza,73269
Construcción y equipamiento del módulo educativo San Antonio de Millipaya,Diputación de León,60000
Construcción Centro de Salud Obispo Bosque,Diputación de Girona,4000
Construcción de sistemas de agua potable en las comunidades Nueva Jerusalén y Fortuna,Bancaja (ahora Bankia),10000
Centro de desarrollo integral para adolescentes y jóvenes,Agencia Andaluza de Cooperación Internacional al Desarrollo,295010
Apoyo a la gestión económica y productiva,Agencia Andaluza de Cooperación Internacional al Desarrollo,276604
Mejoramiento Agrícola Integral Sapanani,Agencia Andaluza de Cooperación Internacional al Desarrollo,111049
"Programa de reactivación economica para las familias damnificadas en inundaciones de lso muncipios de San Carlos, San Juan y Yapacaní, provincia de Ichilo de Santa Cruz, Bolivia",Agencia Española de Cooperación Internacional,167485
"Programa de rehabilitación económica para familias daminifciadas por las inundaciones en los Municipios de Sopachuy, Alcalá y El Villar de la Provincia Tomina del Dpt. De Chuquisaca",Agencia Española de Cooperación Internacional,180293
"Promoción de la cultura mojeña en el ambito de la formación formal, intracultural, intercultural y plurilingue",Agencia Española de Cooperación Internacional,83527
"Apoyo a la implemetación de la piscicultura rural a pequeña escala en la región de Chiquitania, provincias Chiquitos y Velasco (dep. Santa Cruz Bolvia)",Agencia Española de Cooperación Internacional,250000
Fortalecimiento de prácticas de democráticas incluyentes con cualificación de la participación de mujeres y jóvenes,Fundación Castellano Manchega de Cooperación,76214
"Fortalecimiento de la red de comercialización de productos agropecuarios en la provincia de Cordillera (Santa Cruz, Bolivia) ",Generalitat de Valencia,291782
"Mejorar la economía y participación social de las comunidades campesinas indígenas originarias fortaleciendo sus capacidades de propuesta y negociación para la implementación de políticas públicas municipales, provinciales y nacionales.",Junta de Comunidades de Castilla La Mancha,131048
Centro de Educación Integral Santa Lucia de Yocalla,Junta de Comunidades de Castilla La Mancha,204838
Promoviendo la equidad de género en la gestión del desarrollo local en Bolivia,Agencia Andaluza de Cooperación Internacional al Desarrollo,213000
Mejorado el tejido económico de 275 mujeres campesinas indígenas quechuas participantes en la RED productiva orgánica y agroecológica comercializadora mancomunada (MujeryDEL) con los 11 municipios de la Mancomunidad de Gran Centro Potosí.,Ayuntamiento de Córdoba,35000
"Diversificados los procesos productivos en 7 Municipios de la Mancomunidad Gran Centro Potosí con 450 mujeres campesinas indígenas quechuas, a través de la producción artesanal textil",Diputación de Valencia,34560
"Educación, la llave para el desarrollo local (2da Fase): abriendo las puertas para una vida digna",Educación Sin Fronteras,3500
"Educación para la Salud (EPS): Estrategia  de Educación, Información y Capacitación (IEC) y fortalecimiento de los Puestos de Información del Vector (PIVS) de la enfermedad de Chagas",Agencia Catalana de Cooperación al Desarrollo,140000
Educación y Territorio para construir un País Plurinacional,Agencia Catalana de Cooperación al Desarrollo,149172
Educación y Territorio para construir un País Plurinacional,Fundación Machaqa Amaw'ta,51310
Territorio y Educación para construir un Estado Plurinacional. FASE II.,Agencia Catalana de Cooperación al Desarrollo,120000
Territorio y Educación para construir un Estado Plurinacional. FASE II.,Fundación Machaqa Amaw'ta,51120
Educación contextualizada de los pueblos indígenas Aymara y Urus,Agencia Española de Cooperación Internacional,323437
Educación contextualizada de los pueblos indígenas Aymara y Urus,Fundación Machaqa Amaw'ta,89865
"Mejorando la situación de la mujer desde proyectos educativos en zonas rurales de Perú, Ecuador y Bolivia",Diputación Foral de Bizkaia,119176
"Mejorando la situación de la mujer desde proyectos educativos en zonas rurales de Perú, Ecuador y Bolivia",Centro de Estudio y Trabajo de la Mujer,24085
Mejora de la Salud para Comunidades Campesinas,Ayuntamiento de Valdemoro,8393
Construcción y equipamiento de un centro de salud en la comunidad de Villa Aroma,Ayuntamiento de Majadahonda,30800
"Fortalecimiento de la planificación, gestión y prestación de servicios de la red de Atención Primaria",Agencia Catalana de Cooperación al Desarrollo,1115716
Proyecto de Seguridad Alimentaria en EL municipio de Caripuyo,Gobierno de Navarra,536425
Generar economías locales para artesanos/as y comunidades forestales en Santa Cruz y La Chiquitania (Bolivia) a través del certificación FSC y el Comercio Justo,Fundación Copade,7421
Construcción de la Unidad Educativa Thajra,Ayuntamiento de Terrassa,17770
"Incidencia de la mujer indígena de los cinturones de pobreza del Eje Troncal de Bolivia en agenda política pública.Violencia, salud y participación",Agencia Española de Cooperación Internacional,170000
Instituto Politécnico Fe y Alegría: una oferta diversificada y articulada a las demandas de la  población y el mercado del departamento de Tarija,Generalitat de Valencia,324977
"Implementación del Centro de Formación Permanente para Educadores ""San Ignacio de Loyola""",Xunta de Galicia,158932
"Contribución al proceso de integración de la mujer andina a través de prácticas democráticas y fomento al respeto de los derechos ciudadanos, en la perspectiva de reducir las brechas de género ",Ayuntamiento de Azuqueca de Henares,16400
"Contribución al proceso de integración de la mujer andina a través de prácticas democráticas y fomento al respeto de los derechos ciudadanos, en la perspectiva de reducir las brechas de género ",Unión Europea,101303
"Contribución a la generación de condiciones para el ejercicio ciudadano, equidad de género y seguridad jurídica sobre la propiedad agraria de comunidades indígenas,  en los 5 municipios de la Mancomunidad de la Región Andina.",Agencia Española de Cooperación Internacional,457417
