name,description,start_date,end_date,date_provided,date_updated,sector,organization,regions
"Fortalecimiento Político y de Gestión a mujeres de organizaciones sociales para la democratización de sus organizaciones, la inclusión de la agenda de género y el ejercicio de control y vigilancia social a partir de la perspectiva de género","El proyecto está busca por medio del enfoque de empoderamiento posicionar a las mujeres alteñas en sus organizaciones y espacios de toma de decisión, contribuir a la sensibilización y democratización interna de sus organizaciones agendando el tema de género y promover y realizar el control y vigilancia a la gestión municipal desde esta perspectiva.

Se realizó en 3 Fases",2007-03-01,2010-03-31,2012-01-23,2012-06-07,Género en Desarrollo, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,El Alto
"Fortalecimiento y consolidación de unidades productivas familiares en el ámbito agropecuario y forestal y de capacidades organizativas de pequeños productores y productoras. Haití, República Dominicana y Bolivia, 4 años.","Fortalecimiento a organizaciones campesinas del altiplano mediante el acceso a recursos (tierra, agua, biodiversidad), agricultura ecologica familiar y comunitaria, transformación, comercialización y participación en la construcción de políticas agrarias, con enfoque de género e interculturalidad",2008-03-14,2011-03-13,2012-01-24,2012-01-24,Desarrollo Rural y Hambre,Veterinarios Sin Fronteras - VETERMON,Bolivia
"Fortalecimiento y formación de asociaciones productivas solidarias desde un enfoque sostenible, de igualdad de género y de derechos, promoviendo el comercio justo y los valores que implica a través de la sensibilización de la sociedad tarijeña",,2009-01-01,2009-12-30,2012-01-24,,Crecimiento Económico,Fundacion Intered,Tarija
Funcionamiento Centro Salud Milloma,,2008-06-01,2009-12-31,2012-01-24,,Salud,Asociación Andaluza por la Solidaridad y la Paz,Sipe Sipe
Generación de capacidades para el ejercicio responsable de derechos y deberes ciudadanos en la Mancomunidad Andina de Cochabamba  ,,2007-11-19,2009-05-18,2012-01-24,,Género en Desarrollo,Fundación Iberoamericana para el Desarrollo,Arque|Sicaya|Bolívar|Tapacarí
Generar economías locales para artesanos/as y comunidades forestales en Santa Cruz y La Chiquitania (Bolivia) a través del certificación FSC y el Comercio Justo,,2008-12-01,2010-05-31,2012-01-24,2012-04-16,Crecimiento Económico,Fundación Copade,Santa Cruz
"Gestión integrada de la micro cuenca “Suru Hata” con enfoque de soberanía, seguridad alimentaria y negociación, para sustentar el desarrollo económico productivo de los pequeños productores aymaras del cantón de Ilabaya del Departamento de La Paz","El proyecto tiene el propósito de mejorar y ampliar las acciones que, desde hace dos, CECASEM y  Solidaridad Internacional iniciaron en el municipio de Sorata y en el cantón de Ilabaya. Con la experiencia desarrollada,  lo que se pretende ahora es fortalecer el empoderamiento de los pequeños productores campesinos aymaras, a partir de una agricultura campesina sostenible, que involucra mucho más que las técnicas agrícolas; además incluye la preservación de los valores culturales y medioambientales y valoriza el rol significativo de la mujer y el conocimiento indígena, para promover de forma participativa la gestión integrada de la micro cuenca con enfoque de soberanía, seguridad alimentaría y negociación en el municipio. Como un proceso de construcción, en el que los/as pequeños/as productores/as participan de forma corresponsable y de autogestión",2009-05-06,2011-06-06,2012-01-24,2012-06-29,Desarrollo Rural y Hambre,Solidaridad Internacional,Sorata
Granja Escuela,,2009-01-01,2009-12-30,2012-01-24,2012-01-24,Educación,"Movimiento por la Paz, el Desarme y la Libertad",Santa Cruz
Implantación de sistemas de salud comunitaria y municipal en redes de salud rurales de extrema pobreza en Potosí,"Implementación del modelo de salud familiar comunitaria intercultural con participación social de las comunidades rurales, coordinación interinstitucional, toma de decisiones y gestión de proyectos autogestionarios en Betanzos, Puna, Cotagaita, Tacobamba y Tinquipaya con los municipios y PROCOSI",2008-01-01,2010-12-31,2012-01-24,2012-04-18,Salud,Ayuda en Acción,Betanzos|Puna|Cotagaita|Tinquipaya
"Implementación de la piscicultura rural a pequeña escala en la provincia de Chiquitos, Bolivia","Elaborar un estudio de factibilidad participativo sobre las áreas más óptimas para la experiencia piscícola de otras regiones rurales amazónicas.
Impulso de módulos productivos que permitan introducir esta práctica en la región, mejorando la seguridad de la dieta y economía de más de 40 familias",2008-12-01,2009-11-30,2012-01-24,2012-01-24,Crecimiento Económico,Centre D'estudis Amazónics,Chiquitos
Implementación de una red de coordinación interinstitucional para la gestión y el control de aguas comunitarias de consumo entre el gobierno local y las TCO TIM y TIMI,"Red de coordinación para gestión y control de aguas comunitarias con gobierno local, subcentrales de las TCO’s TIM y TIMI e instituciones educativas y de salud
Fomentar cultura de higiene sobre el agua de consumo con una red de promotores/a y una campaña de información y comunicación",2008-07-01,2009-12-31,2012-01-24,2012-01-24,Agua y Saneamiento,Centre D'estudis Amazónics,San Ignacio De Moxos
Implementación Granja Piscícola Muyurina,,2008-10-01,2010-09-30,2012-01-24,2012-01-24,Crecimiento Económico,Jóvenes y desarrollo,Montero
"Impulsar procesos de transformación social y educativa a través de propuestas educativas comunitarias participativas e innovadoras, y mediante la consolidación de un espacio radiofónico alternativo","Consolidar Educación Alternativa desde una cosmovisión andina amazónica mediante redes de transformación social hacia una educación transformadora, con enfoque de género, intercultural y de derechos
Consolidar el Área de Comunicación del Cepja como medio de comunicación alternativo",2008-03-01,2008-10-31,2012-01-24,,Educación,Fundacion Intered,Cochabamba
Impulso a procesos de cambio social en Bolivia: Fortalecimiento del protagonismo social y político de organizaciones de inmigrantes indígenas del área suburbana de Cochabamba – Bolivia,"La instrucción pedagógica estará encomendada por los maestros, las maestras, personal administrativo y los padres de familia de los/as niños y niñas que se educan en las 3 Unidades Educativas",2008-10-01,2010-12-31,2012-01-24,2012-04-16,Gobernabilidad Democrática, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Cochabamba
Incidencia en políticas públicas dentro del proceso constituyente,,2007-01-01,2010-12-31,2012-01-24,,Gobernabilidad Democrática,Intermón Oxfam,Bolivia
Incorporación de los Adolescentes Internos en las Cárceles de Cochabamba a los Programas de Reinserción Social de Ayni Ruway,,2007-11-09,2009-11-09,2012-01-24,2012-01-25,Educación,Proyecto Solidario,Cercado
Incrementada la calidad educativa de niños y niñas del nivel primario de la Unidad Educativa Tomás Frías - Municipio Porco.,"Mejorar el aprendizaje con la construcción y equipamiento de 8 aulas rectangulares y la Instrucción pedagógica a 280 niños/as del nivel primario de la UE Tomás Frías.Esta tarea estará encomendada por los maestros, las maestras y todo el personal administrativo de dicha Unidad Educativa.",2008-03-03,2009-02-28,2012-01-24,,Educación,Paz y Desarrollo,Porco
"Incrementada la calidad educativa de 3 Unidades Educativas, mediante la dotación de elementos básicos de la educación",,2008-11-01,2009-10-30,2012-01-24,,Educación,Paz y Desarrollo,Betanzos|Chaqui|Tacobamba
"Incrementado el Nivel de la Educación de los/as niños, niñas y jóvenes de la Unidad Educativa “Chacabuco”- Municipio Puna.","Mejorar el nivel y la calidad de la Educación en la Unidad Educativa “Chacabuco” a través de la implementación de cinco módulos pedagógicos: “Internado, Computación, Electricidad, Mecánica y Carpintería”",2008-10-10,2009-10-09,2012-01-24,2012-01-24,Educación,Paz y Desarrollo,Puna
"Incrementado el Nivel de vida de la población de las Comunidades de Lamani Baja , Yocalla , Chalama, Muquina , Puituco y Quiruchata mediante la producción agrícola bajo riego","Construcción de seis sistemas de riego en Lamani Baja-Betanzos, San Antonio-Yocalla, Chalama-Tacobamba, Muquina-Puna, Puituco-Belén Urmiri y Quiruchata-Caiza D.  Capacitación para manutención y operación de sistemas de riego, ampliación de la frontera agrícola y acompañamiento técnico",2009-01-01,2009-12-31,2012-01-24,,Agua y Saneamiento,Paz y Desarrollo,Tacobamba|Urmiri|Caiza D|Betanzos|Puna|Yocalla
Incrementado el nivel de vida de los/as campesinos/as indígenas quechuas de la localidad de Chaquí mediante la producción láctea.   ,"Integración socioeconómica de la Asociación de Productores “San Gerónimo” mediante la producción láctea, orientado a desarrollar las potencialidades agrícolas del municipio, con el afán de contribuir al desarrollo regional el mismo tendrá un impacto positivo en los ingresos económicos de las familias",2009-08-20,2010-08-19,2012-01-24,,Crecimiento Económico,Paz y Desarrollo,Chaqui
Incrementado el nivel de vida de los/as campesinos/as indígenas quechuas del Municipio Caiza “D” a través del mejoramiento de la producción frutícola y agroforestal.,"Creación de ecosistemas frutícolas y forestales en comunidades de Caiza D con la construcción de un sistema de riego y caseta para almacenamiento de semillas, equipamiento del vivero frutícola forestal, producción de especies frutícolas y forestales producidas de semilla e hijuelos


",2008-06-01,2009-05-31,2012-01-24,,Crecimiento Económico,Paz y Desarrollo,Caiza D
Incrementar el nivel de vida de la población de la Comunidad Iscu Mayu mediante la producción agrícola bajo riego,"Integración socioeconómica de la comunidad Iscu Mayu dentro del Municipio de Yocalla - Gran Centro Potosí, con la implementación de infraestructura de riego, que tendrá un impacto positivo en el incremento de sus ingresos económicos provenientes del incremento en la producción agrícola",2008-06-30,2009-06-29,2012-01-25,,Agua y Saneamiento,Paz y Desarrollo,Yocalla
"Información, prevención, detección y tratamiento de la leishmaniasis en el municipio de Palos Blancos","Proyecto de apoyo al control de la leishmaniasis en el municipio de Palos Blancos en coordinación con la Red de Salud de dicho municipio.
",2008-10-01,2010-09-30,2012-01-25,2012-04-18,Salud,Ayuda en Acción,Palos Blancos
Investigador e impulsor de técnicas en manejo sostenible de recursos,"Ejecución de estudio forestal piloto basado en la gestión de biomasa y técnicas de plantación en vivero.
Sus resultados posibilitarán la formulación de nuevas propuestas para fortalecer el sector forestal en la zona y establecer contactos con agentes locales implicados en el desarrollo de la región",2008-11-01,2009-10-30,2012-01-25,,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
Ixiamas Sana e Intercultural: Atención a la Salud Integral y con Adecuación Cultural,,2007-08-01,2009-08-31,2012-01-25,,Salud,Fundación Salud y Sociedad - Enfermeras para el Mundo ,Ixiamas
La juventud de guayaramerín protagonista de su desarrollo social y laboral,"Impulsar un programa integral de desarrollo de la población juvenil de Guayaramerín que reforzará el protagonismo fortaleciendo sus organizaciones, se pondrán las bases de una mayor implicación social e integración laboral y productiva en alianza con instituciones públicas y privadas",2009-06-15,2010-06-14,2012-01-25,,Educación,Fundación de Ayuda contra la Drogradicción,Guayamerín
La Red de Educación Técnica de Fe y Alegría: Una Oferta Diversificada y Articulada a las demandas de la población y del Mercado,,2008-12-01,2011-11-30,2012-01-25,,Educación,Intermón Oxfam,Bolivia
Liderazgo de la APG en el desarrollo socio-económico integral de la región del Chaco,,2007-01-01,2010-12-31,2012-01-25,,Gobernabilidad Democrática,Intermón Oxfam,Gutiérrez|Cuevo|Boyuibe|Villa Vaca Guzmán|Macharetí|Camiri|Charagua
Manejo forestal sostenible en equidad de género en la región de los valles cruceños,"La iniciativa pretende la puesta en marcha de metodologías piloto de reforestación,  control de suelos y recuperación medioambiental  a través de tecnologías científicas basadas en gestión de biomasa e impulso de la caliptra de los plantines mediante alveolos evolucionados y  sustratos específicos",2008-01-01,2009-06-30,2012-01-25,,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
Mejora de la Calidad educativa en el Departamento de Chuquisaca,Se trata de la ejecucion de una infraestructura para un centro de capacitacion docente y multiserviciso educativos en Sucre para el departamenteo de chuquisaca,2008-04-01,2010-03-30,2012-01-25,,Educación,Fundacion Intered,Sucre
"Mejora de la calidad educativa y gestión local en los núcleos escolares de Igüembe, Ity y La Tapera, municipio Villa Vaca Guzmán.","Construcción de 2 unidades educativas, fortalecimiento de los sitemas de educación con el reforzamiento del proceso pedagógico y la currícula educativa en coordinación con la dirección distrital del municipio de Villa Vaca Guzman y relación con los docentes de las unidades educativas",2009-07-01,2010-10-31,2012-01-25,2012-01-25,Educación,Ayuda en Acción,Villa Vaca Guzmán
"Mejora de la producción agropecuaria sostenible de la familias campesinas en los valles interandinos de Bolivia, 3 años.","Apoyo a 1000 familias campesinas de 40 comunidades de valles interandinos con la  promoción  y fortalecimiento  organizativo, implementación del plan de desarrollo comunal (PDC), el establecimiento de un sistema de asistencia agropecuaria y el mejoramiento de infraestructura productiva pecuaria",2008-05-01,2010-04-30,2012-01-25,2012-01-25,Crecimiento Económico,Veterinarios Sin Fronteras - VETERMON,Bolivia
Mejora de la situación de poblaciones indígenas vulnerables  - Convenio de Cooperación,"Mejora de la situación de poblaciones indígenas vulnerables en los ámbitos de mejora del acceso a los servicios de salud, especialmente en lo referente a la calidad de atención hospitalaria y adecuación sociocultural de los servicios públicos de salud, así como el desarrollo de acciones integrales complementarias. Se priorizará: Chiquitania, Mancomunidad de municipios de la Cuenca del Caine, la ciudad de el Alto y Trópico de Cochabamba.
Bolivia. 4 años.
",2006-12-15,2010-12-14,2012-01-25,2012-04-13,Salud,Medicus Mundi,La Paz|Santa Cruz|Cochabamba
Mejora de las condiciones de saneamiento básico en cuatro comunidades del Distrito III de Viacha,"El proyecto consiste en la construcción de 4 sistemas de agua potable en las comunidades Hilata Centro, Villa Ancara, Puente Arriba y Chonchocoro del municipio de Viacha. Los otros socios financiadores lo constituyen el gobierno municipal de Viacha y las familias beneficiarias",2008-10-01,2009-09-30,2012-01-25,2012-01-25,Salud,Ayuda en Acción,Viacha
"Mejora de las condiciones de vida reduciendo los riesgos a desastres, de las personas y comunidades en situación de pobreza y exclusión en América Latina","Gestión de riesgos con enfoque de escuela segura y curricula escolar, es parte de un programa que también se desarrolla en México, Nicaragua y Ecuador. Los otros socios o financiadores son los gobiernos municipales y familias beneficiarias de Alcalá, Sopachuy y El Villar",2008-03-01,2011-03-01,2012-01-25,,Educación,Ayuda en Acción,Villar|Sopachuy|Alcala
Mejora de las Condiciones Económicas de Mujeres en desventaja en La Paz y El Alto a través de la capacitación profesional,"El proyecto CEFIM presta servicios de educación en capacitacion tecnica, nivelacion de bachillerato y otras especializaciones a mujeres del entorno rural y con ingresos medios de un euro por día, son mujeres que viven en El Alto y en La Paz y trabajan en la economía informal o asistentes de hogar",2007-02-01,2010-01-31,2012-01-25,,Educación,Fundación Promoción Social de la Cultura,La Paz
Mejora del Acceso a la Energía en las Comunidades Rurales de Bolivia,"Desarrollar el conocimiento y capacidades de mejora del acceso a la energía en zonas fuera de los planes de interconexión eléctrica, para mejorar los servicios básicos y atenuar la presión sobre los recursos energéticos tradicionales",2008-12-01,2009-11-30,2012-01-25,,Gobernabilidad Democrática,Asociación Catalana de Ingeniería Sin Fronteras,Bolivia
Mejora del medio ambiente a través de la recolección y del relleno sanitario de los Residuos Sólidos Urbanos en la Localidad de Betanzos,,2009-06-09,2010-06-08,2012-01-25,2012-01-25,Salud,Paz y Desarrollo,Betanzos
"Mejora del nivel educativo de la población Guaraní, especialmente mujeres y niñas","Mejora del nivel educativo de la población guaraní de los tres municipios, prestando una atención especial a las mujeres y niñas. Se trabajará desde un enfoque integral, incidiendo tanto en el sistema educativo formal y como no formal o alternativo",2008-11-01,2010-10-30,2012-01-25,,Educación,Fundacion Intered,Villa Vaca Guzmán|Huacaya
"Mejorado el sistema vial de la comunidad de Santa Rosa mediante la construcción de un camino carretero de 10,06 km",,2007-09-01,2009-02-28,2012-01-25,,Gobernabilidad Democrática,Paz y Desarrollo,Villa Tunari
Mejoramiento de la educación básica de niños/as jóvenes y adultos bilingües de municipios rurales pobres en los departamentos de Potosí y Chuquisaca,"Desarrollo de una metodología educativa por radio, orientada fundamentalmente a jóvenes que no han concluido sus estudios primarios en los municipios de Tarabuco, Presto, Tarvita y Sopachuy Chuquisaca y Betanzos y Caiza D en el Potosí. El proyecto se ejecuta en consorcio con Entreculturas",2008-11-17,2011-11-16,2012-01-26,,Educación,Ayuda en Acción,Presto|Tarvita|Caiza D|Sopachuy|Tarabuco|Betanzos
"Mejoramiento de las condiciones alimentarias, la economía y la participación social de las familias campesinas de dos municipios del Departamento de Pando,  Bolivia",,2007-01-01,2010-12-31,2012-01-26,,Desarrollo Rural y Hambre,Intermón Oxfam,Puerto Rico|Bella Flor
Mejorando la seguridad alimentaria,,2009-03-01,2010-08-31,2012-01-26,,Desarrollo Rural y Hambre,Cáritas,Saphaqui|El Torno|Arani
Modelo campesino  de gestión del  desarrollo comunal sostenible en los Valles Interandinos de Santa Cruz y Cochabamba (Fase III),"Organizaciones  de base de 35 comunidades campesinas fortalecidas, impulsan (promueven, diseñan, implantan)   participativamente acciones  de  desarrollo  comunal con sostenibilidad  social, económica y ambiental",2008-12-30,2010-12-30,2012-01-26,,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Cochabamba|Santa Cruz
Mujeres en acción (Fase II),"En consorcio con el Centro “AYNI”, con los gobiernos municipales y los SLIM una estrategia para el empoderamiento de la mujer, que promueva su desarrollo integral y su participación igualitaria en los niveles locales de decisión política y social y ejercicio de derechos",2008-10-01,2010-09-30,2012-01-26,2012-01-26,Género en Desarrollo, Asociación para el Desarrollo Social y Cultural ZABALKETA,Camargo|San Lucas
Mujeres En Acción Construyendo la Equidad,"El proyecto pretende promover el desarrollo integral de la mujer rural mediante el impulso de su participación igualitaria en los niveles locales de decisión política y social, en la educación formal  y en el ejercicio de derechos",2006-12-01,2009-08-30,2012-01-26,,Género en Desarrollo, Asociación para el Desarrollo Social y Cultural ZABALKETA,Culpina
Mujeres orfebres de la ciudad de EL Alto desarrollan capacidades en diseño y producción para integrar sus productos en los mercados de comercio justo,,2008-02-01,2009-02-28,2012-01-26,,Crecimiento Económico,Solidaridad Internacional,El Alto
OCER (Oficina de Atención a la Ciudadanía en el Exterior y al Retorno),,2009-01-01,2009-12-31,2012-01-26,,Gobernabilidad Democrática,Fundación Ramón Rubial,Bolivia
Perforación de Pozos,,2009-02-01,2010-01-30,2012-01-26,,Agua y Saneamiento,"Movimiento por la Paz, el Desarme y la Libertad",Santa Cruz
Plataforma para una Política Energética,,2009-01-01,2009-12-31,2012-01-26,,Gobernabilidad Democrática,Intermón Oxfam,Bolivia
Prevención y rehabilitación en la Amazonia Boliviana,,2009-01-01,2009-06-30,2012-01-26,,Sostenibilidad Ambiental,Cáritas,Reyes|Riberalta|Guayamerín|Cobija
Producción de hortalizas bajo carpas solares en el CECAP-Escoma,,2009-02-01,2010-05-31,2012-01-26,,Crecimiento Económico,Jóvenes y desarrollo,Escoma
Programa de Apoyo Educativo para escuelas del Municipio de Okinawa,,2007-02-05,2009-02-05,2012-01-26,2012-01-26,Educación,Proyecto Solidario,Okinawa
Promoción de desarrollo local mediante la generación de valor agregado en el cultivo y comercialización de la cañahua en el Departamento de Cochabamba,,2008-03-12,2010-03-11,2012-01-26,,Crecimiento Económico,Fundación Iberoamericana para el Desarrollo,Bolívar
"Promoción de la cultura mojeña a través de la educación formal en el ámbito territorial mojeño, Amazonía Boliviana ","Formación del profesorado en Educación Intercultural Bilingüe para mejorar la calidad de la educación mojeña y facilitar procesos de implementación curricular. Fortalecimiento de Consejos Educativos Comunitarios de Núcleo y Distrito, con la participación de padres/madres, estudiantes y autoridades.",2008-09-01,2009-08-31,2012-01-26,,Educación,Centre D'estudis Amazónics,San Ignacio De Moxos
Promoción de los Derechos de la población Indígena Guaraní que vive en condiciones de Semiesclavitud y Servidumbre en el Chaco Chuquisaqueño de Bolivia,,2008-11-01,2009-10-30,2012-01-26,2012-04-23,Gobernabilidad Democrática,Fundacion Intered,Sucre
Promoción de los Derechos de las familias de la etnia Guaraní que viven en condiciones de servidumbre y empadronamiento en el Chaco Chuquisaqueño,,2007-12-01,2010-10-31,2012-01-26,2012-04-23,Gobernabilidad Democrática,Solidaridad Internacional,Monteagudo|Sucre|Huacareca|Macharetí|Villa Vaca Guzmán|Huacaya
Promoción de los Derechos de los Indígenas de Bolivia a Través de la Gestión Concertada del Agua de la Cuenca Mauri – Desaguadero,,2009-01-01,2010-12-31,2012-01-26,,Agua y Saneamiento,Intermón Oxfam,Mauri
"Promoción de los derechos de niños/as y adolescentes trabajadores que viven en condiciones de exclusion social, violencia, explotación y abuso en regiones piloto de Bolivia",,2008-12-15,2011-12-15,2012-01-26,2012-01-26,Gobernabilidad Democrática,Proyecto Solidario,Bolivia
"Promoción y protagonismo económico y social de mujeres en riesgo  a través de la organización, capacitación y microcrédito en barrios Sub-urbanos y rurales en Quillacollo Cochabamba- Bolivia",,2008-10-24,2009-10-23,2012-01-26,,Crecimiento Económico,Fundación Iberoamericana para el Desarrollo,Quillacollo
"Promoción, Desarrollo e Integración de servicios de Fisioterapia en la estructura sanitaria","- Hospital Parroquial de San Ramón - San Ramón
- Hospital Municipal de San Javier - San Javier
- Centro de Salud San Rafael – Santa Cruz
- Centro de Fisioterapia Virgen de Cotoca – Ciudadela Nuevo Palmar, Santa Cruz

",2007-07-24,2014-04-05,2012-01-26,2012-04-11,Salud,Fisioterapeutas para el Mundo Solidarios,Santa Cruz|San Javier|San Ramón
"Protección integral y ayuda contra la drogadicción de niños y adolescentes de la calle. Bolivia, Perú, Ecuador, 4 años","Este Convenio abarca otros países: Ecuador y Perú, sin embargo, los datos aquí facilitados hacen referencia únicamente al componente ejecutado en Bolivia",2008-06-01,2012-05-31,2012-01-26,,Educación,Fundación de Ayuda contra la Drogradicción,La Paz
Proyecto Suma Thakhi,,2009-02-01,2009-12-31,2012-01-26,2012-03-02,Educación,Asociación de Apoyo a la Infancia ,El Alto
Proyecto Yateqhañani,,2009-03-01,2010-03-01,2012-01-26,2012-03-02,Educación,Asociación de Apoyo a la Infancia ,El Alto
Proyecto Casa Yanapasiñani,,2009-01-01,2009-12-31,2012-01-26,2012-03-02,Educación,Asociación de Apoyo a la Infancia ,El Alto
Proyecto de mejora del acceso y la calidad del sector educativo en Departamento de Potosí Bolivia - Fase I,,2008-01-10,2010-01-10,2012-01-26,,Educación,Proyecto Solidario,Tacobamba
Proyecto Urbano Hogar Teresa de los Andres,El proyecto consiste en la atención a niños y niñas con severa discapacidad física y mental; educación básica y especial y procesos productivos para el autosostenimiento del Centro Hogar Teresa de Los Andes.,2009-01-01,2009-12-31,2012-01-26,,Educación,Ayuda en Acción,Cotoca
Recuperación productiva y social de familias de colonizadores de comunidades del municipio de San Julián,Proyecto de rehabilitación en comunidades del municipio de San Julián que fueron afectadas por el desborde del Rio Grande. El proyecto es ejecutado por un equipo propio de AeA.,2008-09-01,2009-08-31,2012-01-26,,Sostenibilidad Ambiental,Ayuda en Acción,San Julian
Reforzamiento de actividades productivas autogestionadas con mujeres en El Alto ,"El proyecto consiste básicamente en la adquisición de un local comercial y compra de mobiliario para el mismo, para la venta de los productos artesanales producidos a través de actividades productivas autogestioandas por mujeres en la ciudad de El Alto.",2009-01-01,2009-12-31,2012-01-26,,Crecimiento Económico,Asociación de Apoyo a la Infancia ,El Alto
"Rehabilitación económica en los municipios de Alcalá, Sopachuy y El Villar","Proyecto que apoya a la recuperación productiva en los municipios de Alcalá, Sopachuy y El Villar, afectadas en la gestión 2008 por el desborde de los rios que inhabilitaron los terrenos destinados a la siembra de papa, maíz, ají y maní.  Los otros socios o financiadores son los gobiernos municipales y familias beneficiarias",2008-07-01,2009-09-30,2012-01-26,2012-01-26,Crecimiento Económico,Ayuda en Acción,Alcala|Sopachuy|Villar
Santa Cruz Saludable: por la salud de la mujer detectando el cáncer de útero,,2007-10-01,2009-10-31,2012-01-26,2012-01-26,Salud,Fundación Salud y Sociedad - Enfermeras para el Mundo ,Santa Cruz
Santa Cruz Saludable: Promocionando la Salud de las Mujeres en Edad Reproductiva de la Red Este,,2007-11-01,2010-01-31,2012-01-26,,Salud,Fundación Salud y Sociedad - Enfermeras para el Mundo ,Santa Cruz
Sistemas de agua potable en 2 comunidades del distrito III del municipio de Viacha,El proyecto consiste en la construcción de 2 sistemas de agua potable en las comunidades Granja Convento y Sekejahuira del municipio de Viacha. Los otros socios son el gobierno municipal de Viacha y las familias beneficiadas.,2008-03-01,2009-05-31,2012-01-26,,Agua y Saneamiento,Ayuda en Acción,Viacha
Soberanía alimentaria y participación campesina en la Central Agraria Lambate,"El proyecto, pretende contribuir a una soberanía alimentaria con equidad de género en 21 comunidades del sector de Lambate, Municipio de Irupana, como medio para lograr un desarrollo local medioambiental y socialmente sostenible, con participación campesina.

El proyecto plantea las siguientes estrategias de trabajo: (1) manejo sostenible de bases productivas y recursos naturales (agua, suelo, bosque); (2) transformación y comercialización por organizaciones económicas campesinas (OECAs) de varios productos de la zona y de semillas de papa certificada; (3) fortalecimiento de las organizaciones campesinas de mujeres y mixtas para su participación en el desarrollo local y conformación de Organizaciones Económicas Campesinas (OECAs); (4) fortalecimiento de la radio Qhana Ilimani ",2008-10-01,2010-09-30,2012-01-26,2012-06-07,Desarrollo Rural y Hambre, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Irupana Municipality
Telecentros educativos comunitarios,El proyecto tiene una duración de 3 años y actualmente se ejecuta el tercer y último año. Se ha logrado implementar 16 telecentros educativos en unidades escolares rurales del municipio de Yapacaní con el fin de reforzar la gestión educativa,2009-01-01,2009-12-31,2012-01-26,2012-01-26,Educación,Ayuda en Acción,Villa Yapacaní
Transparencia en la Gestión Fiscal y Administrativa de la Renta Proveniente de Hidrocarburos – Fase II,,2009-01-01,2009-12-31,2012-01-26,,Gobernabilidad Democrática,Intermón Oxfam,Bolivia
"Transparencia y control social de la renta de hidrocarburos, en YPFB y el Ministerio de Hidrocarburos",,2008-08-01,2009-07-31,2012-01-26,,Gobernabilidad Democrática,Intermón Oxfam,Bolivia
Unidad Educativa Madre de La Divina Providencia (2da. Fase Secundaria),,2009-07-01,2009-12-31,2012-01-26,,Educación,Jóvenes y desarrollo,Cercado
"Fortalecimiento y apoyo a redes y organizaciones de mujeres indígenas. Ecuador, Colombia, Perú, Bolivia, Paraguay, Guatemala y Mexico (Chiapas).  ",,2008-01-01,2014-12-31,2012-03-21,2012-10-29,Gobernabilidad Democrática,Acción contra el Hambre - Misión Paraguay-Bolivia,Cochabamba|La Paz|Oruro
"Apoyo al autodesarrollo de los pueblos indígenas y al reconocimiento y aplicación efectiva de sus derechos. Ecuador, Bolivia, Perú, Colombia, Paraguay, Guatemala y Mexico (Chiapas).  ",,2007-01-01,2007-12-31,2012-03-21,,Gobernabilidad Democrática, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Bolivia
"Fortalecimiento de la sociedad civil para la exigibilidad de los Derechos Económicos, Sociales Culturales y Ambientales (DESCA) y la gestión sostenible de los recursos naturales en Bolivia y Perú  ",,2010-01-01,2014-09-30,2012-03-21,2012-06-06,Gobernabilidad Democrática, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Atocha|Pelechuco|Mocomoco|Cochabamba|Ascension|El Choro|Tupiza
Seguridad Alimentaria y desarrollo económico local en Bolivia y Ecuador,,2010-01-01,2010-12-31,2012-03-21,,Desarrollo Rural y Hambre,Ayuda en Acción,Chuquisaca|Potosí|La Paz|Santa Cruz
Migración y desarrollo y fortalecimiento de capacidades para el desarrollo social y productivo en Bolivia y Ecuador,,2010-07-16,2013-12-31,2012-03-21,2012-05-08,Gobernabilidad Democrática,Cáritas,Sucre|Oruro|Potosí|Tarija|Cochabamba|Guayamerín|El Alto|La Paz|Santa Cruz
La Red de Educación Técnica de Fe y Alegría: Una oferta diversificada y articulada a las demandas de la población y el mercado  ,,2008-12-01,2011-11-30,2012-03-21,,Educación,Entreculturas,Bolivia
"Promoción del acceso universal a la educación mediante la mejora de la formación profesional y técnica, desde un enfoque integral.  Bolivia, Colombia, Venezuela, Paraguay, Perú y Ecuador. ",,2007-01-01,2007-12-31,2012-03-21,,Educación,Entreculturas,Potosí|Tarija|Chuquisaca
